Stock Index,Stock Price
AC3235,810.0842086816774
AC3236,253.20493059201547
AC3237,1558.3606944093624
AC3238,847.1147693936475
AC3239,268.252689697962
AC3240,362.56088536401325
AC3241,723.6910774569093
AC3242,883.3890066754891
AC3243,915.0439574569168
AC3244,1323.3031912404406
AC3245,305.9150176872869
AC3246,405.0703579101379
AC3247,637.6230003875671
AC3248,286.5434185195038
AC3249,248.84020227023953
AC3250,259.8734347316778
AC3251,1804.011870673363
AC3252,132.87755099152386
AC3253,298.52799501121217
AC3254,198.78777877771168
AC3255,1002.7228524588489
AC3256,871.3216945471066
AC3257,1472.0317099867539
AC3258,504.5113973266091
AC3259,267.572923349981
AC3260,300.2407785103967
AC3261,112.08414594023156
AC3262,254.41101924888747
AC3263,380.0650517506046
AC3264,118.3199989368087
AC3265,1058.2905485665876
AC3266,878.9220831083514
AC3267,522.1427680701712
AC3268,754.1994082247905
AC3269,410.1193724558394
AC3270,820.3813197049741
AC3271,82.38334128898883
AC3272,475.5309121257636
AC3273,986.7918827044929
AC3274,667.6399358592587
AC3275,561.9572134620881
AC3276,649.1511889934382
AC3277,671.4092442357569
AC3278,885.2452449204892
AC3279,190.3260547867587
AC3280,439.8437675785664
AC3281,906.708213766661
AC3282,128.46749896482305
AC3283,804.2740716845074
AC3284,672.3628338172131
AC3285,107.31184631747709
AC3286,877.447865144506
AC3287,195.46903184493405
AC3288,183.12327255824405
AC3289,157.5891288256061
AC3290,186.6440411211999
AC3291,193.1445648360279
AC3292,89.36753448512846
AC3293,510.4121800331298
AC3294,185.2833111828851
AC3295,547.3023280008256
AC3296,101.65875153184076
AC3297,602.4753217248386
AC3298,806.2549770772381
AC3299,101.66066332420478
AC3300,84.97951959929206
AC3301,834.715064895255
AC3302,126.37429986689175
AC3303,1257.7835719274804
AC3304,38.26051949056932
AC3305,264.8133722431833
AC3306,168.44165962189263
AC3307,30.133599151537247
AC3308,126.87540878107572
AC3309,266.3585932711976
AC3310,803.2885391758173
AC3311,1091.445516227657
AC3312,865.4289475026875
AC3313,30.346276765515427
AC3314,78.51971682235255
AC3315,119.42162963348201
AC3316,413.8726591304942
AC3317,991.8494916546531
AC3318,548.8840607112746
AC3319,1195.3096936302206
AC3320,29.278412158211328
AC3321,104.56717914587267
AC3322,94.29938186134072
AC3323,887.4906833822859
AC3324,82.93992384314713
AC3325,271.41780163169096
AC3326,364.9767350269324
AC3327,84.31083236043239
AC3328,122.40066430201126
AC3329,697.5346579203663
AC3330,894.2446243500066
AC3331,242.98383519373598
AC3332,763.0103499965968
AC3333,1452.5909348899347
AC3334,427.7286641976297
AC3335,625.2756100344612
AC3336,326.36433454017225
AC3337,622.1021271412942
AC3338,1740.684865665896
AC3339,802.7913783871359
AC3340,78.721990258764
AC3341,1244.0083587447493
AC3342,1218.2644590975824
AC3343,282.9143875377953
AC3344,92.95357358311895
AC3345,220.67242976923532
AC3346,82.84866157242982
AC3347,289.8512929685338
AC3348,663.4068679675731
AC3349,514.9203577510175
